yorum_id,video_id,video_url,channel_name,channel_id,kategori,eslesen_keyword,video_title,video_published_at,video_view_count,video_like_count,video_comment_count,yorum_text,yorum_tarihi,begeni_sayisi,yanit_sayisi,yorum_kelime_sayisi,ornek_secim_nedeni,compound,pos,neu,neg,sentiment
UgylAh-LcN10edRLPn14AaABAg,RDdiG-5y8M4,https://www.youtube.com/watch?v=RDdiG-5y8M4,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,ateskes,talks,"Iranian media say no direct or indirect contact with Trump, claim he ‘backed down’",2026-03-23T12:15:39Z,281149,2323,992,I'm scared so I lied. Thank you for your attention to this matter. Former epstein member - Donald J Trump.,2026-03-23T13:16:31Z,16,0,20,random_stratified,-0.4385,0.152,0.623,0.225,negatif
UgwD4omQJRITW4o0h7V4AaABAg,RDdiG-5y8M4,https://www.youtube.com/watch?v=RDdiG-5y8M4,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,ateskes,talks,"Iranian media say no direct or indirect contact with Trump, claim he ‘backed down’",2026-03-23T12:15:39Z,281149,2323,992,"What we can say with certainty:
-The U.S. is behaving as if negotiations are underway.
-Iran is behaving as if they are not.
-The surrounding system currently supports Iran’s version more strongly.",2026-03-23T13:56:32Z,3,0,32,random_stratified,0.7089,0.192,0.808,0.0,pozitif
UgyIdp4XueeKzhSU0FR4AaABAg,5E9g3NU-hGs,https://www.youtube.com/watch?v=5E9g3NU-hGs,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,ateskes,negotiations,"US ‘negotiating with itself’, Iran military says after Trump’s claim of talks",2026-03-25T05:48:49Z,719033,5312,1869,The Remnants of the Iranian Terrorist Khomeini-Khamenei Regime has truly fallen … The Iranian Military do not represent the Iranian People … The Iranian Military is a disgrace … nothing but tattered remnants of the Fallen Khomeini-Khamenei Regime calling this a “Jihadists” War is a Rogue Stale and Etiolating Terrorist Group in the Region. The Rest of the Gulf States have now joined the US and the IDF to pacify the region.,2026-03-25T10:13:50Z,2,1,72,random_stratified,-0.9678,0.022,0.732,0.246,negatif
UgzLyxR3PNzOofs-hmZ4AaABAg,jE91fj6JAgY,https://www.youtube.com/watch?v=jE91fj6JAgY,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,ateskes,diplomatic,Spanish PM says ‘no to war’ in Middle East | AJ #shorts,2026-03-04T11:38:08Z,316577,14136,1238,Well said Mr Pedro Sanchez 👏. Allies should unite thru out 🇪🇺 Europe and say no to war. Especially to a dictator like trump. Bravo 👏,2026-03-05T20:13:00Z,2,0,26,random_stratified,0.6753,0.228,0.707,0.065,pozitif
UgxuWLQXVBUMk3S4EUp4AaABAg,jE91fj6JAgY,https://www.youtube.com/watch?v=jE91fj6JAgY,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,ateskes,diplomatic,Spanish PM says ‘no to war’ in Middle East | AJ #shorts,2026-03-04T11:38:08Z,316577,14136,1238,"If anyone here who wants to see a great country and people go to spain. Barcelona was amazing, the Spanish people have not sold their country out like the French. France is finished.",2026-03-05T04:52:31Z,2,0,33,random_stratified,0.886,0.257,0.743,0.0,pozitif
UgwJ_fDxBcJD3SbdrUR4AaABAg,RDdiG-5y8M4,https://www.youtube.com/watch?v=RDdiG-5y8M4,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,ateskes,talks,"Iranian media say no direct or indirect contact with Trump, claim he ‘backed down’",2026-03-23T12:15:39Z,281149,2323,992,"ww3 is the last thing this world leaders want and yet this media instigating for the war to escalate, makes you think some these medias dont care about the world",2026-03-23T15:12:50Z,2,0,30,random_stratified,-0.7374,0.037,0.775,0.187,negatif
Ugx0ELx4qEZAthCwrIt4AaABAg,RDdiG-5y8M4,https://www.youtube.com/watch?v=RDdiG-5y8M4,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,ateskes,talks,"Iranian media say no direct or indirect contact with Trump, claim he ‘backed down’",2026-03-23T12:15:39Z,281149,2323,992,USA must stop the American and Israel aggression on Iran  . Iran has The full right to defend itself,2026-03-23T13:46:44Z,2,0,19,random_stratified,-0.5267,0.0,0.794,0.206,negatif
Ugy1edF7_9ybb49uTot4AaABAg,RDdiG-5y8M4,https://www.youtube.com/watch?v=RDdiG-5y8M4,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,ateskes,talks,"Iranian media say no direct or indirect contact with Trump, claim he ‘backed down’",2026-03-23T12:15:39Z,281149,2323,992,"No, it does not make perfect. Sense. Who the heck are you getting your information from? Oh Fox News.",2026-03-23T13:15:38Z,2,0,19,random_stratified,-0.4585,0.0,0.857,0.143,negatif
UgxeIyT2hx9nrNVMNqp4AaABAg,5E9g3NU-hGs,https://www.youtube.com/watch?v=5E9g3NU-hGs,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,ateskes,negotiations,"US ‘negotiating with itself’, Iran military says after Trump’s claim of talks",2026-03-25T05:48:49Z,719033,5312,1869,Gods Prayers for Iran and its fellow allies For  Peace and Justice From Aotearoa NZ 🕊🌏🙏🏼♥️,2026-03-29T16:20:32Z,1,0,16,random_stratified,0.9022,0.326,0.674,0.0,pozitif
UgySP9QxL2er4PgsYnJ4AaABAg,5E9g3NU-hGs,https://www.youtube.com/watch?v=5E9g3NU-hGs,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,ateskes,negotiations,"US ‘negotiating with itself’, Iran military says after Trump’s claim of talks",2026-03-25T05:48:49Z,719033,5312,1869,"It's interesting to see how presidents in their eighties change their cognitive abilities. Biden greeted the ""invisible friend,"" and Trump ""makes deals with strangers."" He needs a straitjacket by now.",2026-03-29T05:04:28Z,1,0,30,random_stratified,0.8402,0.278,0.722,0.0,pozitif
UgyLvlcdOCT_l13GoPR4AaABAg,5E9g3NU-hGs,https://www.youtube.com/watch?v=5E9g3NU-hGs,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,ateskes,negotiations,"US ‘negotiating with itself’, Iran military says after Trump’s claim of talks",2026-03-25T05:48:49Z,719033,5312,1869,😂😂😂😂😂 that’s the more funny I hear  negotiation hem self  never Iran negotiate whit Israel. Or USA. 😂😂😂😂 very funny 😂😂,2026-03-25T20:03:29Z,0,2,21,random_stratified,0.9885,0.408,0.415,0.177,pozitif
UgzKk-SXdjIMvN86LTJ4AaABAg,5E9g3NU-hGs,https://www.youtube.com/watch?v=5E9g3NU-hGs,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,ateskes,negotiations,"US ‘negotiating with itself’, Iran military says after Trump’s claim of talks",2026-03-25T05:48:49Z,719033,5312,1869,"Funny how U.S. has never had any foreign battles on their land and yet are flippant starting a war and murdering in another country. Their families murdered, homes , infrastructure destroyed. Until we in the states experience this horror in their backyards they will always be flippant!",2026-03-28T16:18:23Z,0,1,47,random_stratified,-0.9689,0.044,0.606,0.35,negatif
UgwR2eLSEKjPC7nLM094AaABAg,5E9g3NU-hGs,https://www.youtube.com/watch?v=5E9g3NU-hGs,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,ateskes,negotiations,"US ‘negotiating with itself’, Iran military says after Trump’s claim of talks",2026-03-25T05:48:49Z,719033,5312,1869,"Iran a history of lying for 2,500 yrs. Broken every diplomatic decrees. Taken hostages thru out history , and this clown speaker would stand to close to him",2026-03-25T11:57:12Z,0,1,28,random_stratified,-0.7579,0.0,0.8,0.2,negatif
UgzX0Hjm3hhRTabYUjJ4AaABAg,5E9g3NU-hGs,https://www.youtube.com/watch?v=5E9g3NU-hGs,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,ateskes,negotiations,"US ‘negotiating with itself’, Iran military says after Trump’s claim of talks",2026-03-25T05:48:49Z,719033,5312,1869,People are so dumb they don’t seem to understand that Trump is causing panic in their camps and putting them on edge; it’s a war strategy..wait and see the outcome 😁.,2026-03-25T11:26:23Z,0,1,31,random_stratified,-0.857,0.066,0.682,0.252,negatif
UgxooyKNDaG_qPnAPa54AaABAg,5E9g3NU-hGs,https://www.youtube.com/watch?v=5E9g3NU-hGs,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,ateskes,negotiations,"US ‘negotiating with itself’, Iran military says after Trump’s claim of talks",2026-03-25T05:48:49Z,719033,5312,1869,"Every body knows there is no negotiations,  Iran will be the one to decide when this war ends not the US or the Jews in the occupied Palestine",2026-03-25T10:09:48Z,1,1,28,random_stratified,-0.7798,0.0,0.792,0.208,negatif
UgzJwn_XX36Jj7REMKF4AaABAg,RDdiG-5y8M4,https://www.youtube.com/watch?v=RDdiG-5y8M4,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,ateskes,talks,"Iranian media say no direct or indirect contact with Trump, claim he ‘backed down’",2026-03-23T12:15:39Z,281149,2323,992,Every morning I wake up and think: Is he gone yet? No? What did he say or do this time?,2026-03-23T13:24:23Z,1,1,20,random_stratified,0.0,0.0,1.0,0.0,notr
