video_id,video_url,video_title,channel_name,channel_id,kategori,eslesen_keyword,comment_count,view_count,like_count,published_at
5E9g3NU-hGs,https://www.youtube.com/watch?v=5E9g3NU-hGs,"US ‘negotiating with itself’, Iran military says after Trump’s claim of talks",Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,ateskes,negotiations,1869,719033,5312,2026-03-25T05:48:49Z
jE91fj6JAgY,https://www.youtube.com/watch?v=jE91fj6JAgY,Spanish PM says ‘no to war’ in Middle East | AJ #shorts,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,ateskes,diplomatic,1238,316577,14136,2026-03-04T11:38:08Z
RDdiG-5y8M4,https://www.youtube.com/watch?v=RDdiG-5y8M4,"Iranian media say no direct or indirect contact with Trump, claim he ‘backed down’",Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,ateskes,talks,992,281149,2323,2026-03-23T12:15:39Z
ePR76pH8RK4,https://www.youtube.com/watch?v=ePR76pH8RK4,What's Iran's strategy? | Israeli-US war on Iran explained,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,genel,iran_context,3639,2533868,17321,2026-03-28T22:33:14Z
sZhW3uX6Omw,https://www.youtube.com/watch?v=sZhW3uX6Omw,‘Khamenei is dead’: Trump,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,genel,iran_context,3315,1025930,8133,2026-02-28T22:05:36Z
u3eLNm-Bqt4,https://www.youtube.com/watch?v=u3eLNm-Bqt4,IRGC spokesman tells US President Donald Trump ‘You’re fired!’ | AJ #shorts,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,genel,iran_context,3208,996312,39524,2026-03-23T09:27:14Z
ptRGY5xHIGg,https://www.youtube.com/watch?v=ptRGY5xHIGg,Trump pressures China over strait of Hormuz oil crisis | US–China tensions explained,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,hormuz,hormuz,2319,850999,5371,2026-03-16T04:10:27Z
O9NWQRqTRBE,https://www.youtube.com/watch?v=O9NWQRqTRBE,Who is answering Trump’s call for help with Strait of Hormuz? | AJ #shorts,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,hormuz,hormuz,1709,477403,13732,2026-03-16T21:00:02Z
7dbvIAcIsqE,https://www.youtube.com/watch?v=7dbvIAcIsqE,EU says Iran is 'not Europe's war' | AJ #shorts,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,hormuz,hormuz,1439,215884,10779,2026-03-17T05:29:57Z
02xh4MpAQCs,https://www.youtube.com/watch?v=02xh4MpAQCs,Dramatic moment Iran’s retaliatory missile barrage hits Israel | AJ #shorts,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,ilk_saldir,missile,7999,4004768,108827,2026-03-02T00:26:43Z
0SD81SyqDEw,https://www.youtube.com/watch?v=0SD81SyqDEw,Trump postpones US military strikes on Iranian power plants,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,ilk_saldir,strike,5218,1057053,8511,2026-03-23T11:39:00Z
aBSRIBmSclo,https://www.youtube.com/watch?v=aBSRIBmSclo,Iran confirms Supreme Leader Ali Khamenei dead after US-Israeli attacks,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,ilk_saldir,missile,4650,1674851,14696,2026-03-01T03:24:16Z
e0d0LILSW2g,https://www.youtube.com/watch?v=e0d0LILSW2g,'This is America’s war': Iran's Foreign Minister Araghchi | Talk to Al Jazeera,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,sivil_kayip,civilian,3424,804668,12123,2026-03-18T04:07:20Z
IuWZL416nBY,https://www.youtube.com/watch?v=IuWZL416nBY,Israel’s wars explained: How a tiny country became a military power,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,sivil_kayip,displaced,812,60585,998,2026-03-26T20:11:42Z
Nmv45tz74yI,https://www.youtube.com/watch?v=Nmv45tz74yI,"War on Iran takes humanitarian toll: More than 1,300 dead after one week of conflict",Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,sivil_kayip,refugee,525,59155,732,2026-03-08T01:41:38Z
cBYI6v3JThE,https://www.youtube.com/watch?v=cBYI6v3JThE,"US is 'negotiating with itself,' Iranian military says | BBC News",BBC News,UC16niRr50-MSBwiO3YDb3RA,ateskes,peace,4331,954585,6506,2026-03-25T11:16:03Z
hiEOrPqKoJI,https://www.youtube.com/watch?v=hiEOrPqKoJI,Donald Trump insists US is negotiating with Iran over an end to war | BBC News,BBC News,UC16niRr50-MSBwiO3YDb3RA,ateskes,talks,1211,452315,1937,2026-03-26T11:41:31Z
Xz8zj8X2FKE,https://www.youtube.com/watch?v=Xz8zj8X2FKE,Trump says US will be Iran's 'worst nightmare' if it doesn't agree to peace plan | BBC News,BBC News,UC16niRr50-MSBwiO3YDb3RA,ateskes,peace,964,334437,1791,2026-03-26T19:30:28Z
w2IOQkge5uM,https://www.youtube.com/watch?v=w2IOQkge5uM,German general warns of Russia's 'urgent' threat to West in full interview | BBC News,BBC News,UC16niRr50-MSBwiO3YDb3RA,genel,iran_context,5488,801248,14883,2026-03-28T12:01:09Z
KQ0tYTkRlmQ,https://www.youtube.com/watch?v=KQ0tYTkRlmQ,Iran says it will never surrender as Trump warns it faces complete destruction | BBC News,BBC News,UC16niRr50-MSBwiO3YDb3RA,genel,iran_context,3833,1144697,7842,2026-03-07T23:34:57Z
